"adm1","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","iso","umd_tree_cover_loss__year"
14,4723907.957822592,20103.245836948656,8660497.922674753,"MMR",2005
15,39266.30084991615,207.45283559854386,71988.21822484628,"MMR",2005
1,244490.06406454783,1245.6233322338994,448231.78411833773,"MMR",2006
2,710662.1789295678,3947.9842538124312,1302880.6613708744,"MMR",2006
3,1266918.8038520585,5545.43740856609,2322684.4737287736,"MMR",2006
4,3083087.619843115,13794.324393405794,5652327.303045711,"MMR",2006
5,470385.7941240383,2042.147583163045,862373.9558940701,"MMR",2006
6,2466588.9785242258,12252.277181229845,4522079.79396108,"MMR",2006
7,610746.2649295557,2981.3217904136873,1119701.4857041854,"MMR",2006
8,377929.07573608094,1841.0471099652293,692869.9721828148,"MMR",2006
9,867238.7002996607,5052.744252299412,1589937.6172160446,"MMR",2006
10,1028.203842903416,6.961525826330476,1885.0403786562622,"MMR",2006
11,790920.4108282975,5297.867146807977,1450020.753185212,"MMR",2006
12,2949235.5663265055,13703.827121587232,5406931.871598593,"MMR",2006
13,9279152.606777111,43233.025928473064,17011779.77909137,"MMR",2006
14,3818664.0549264955,16257.284239639703,7000884.100698575,"MMR",2006
15,34610.98347110052,262.26823413546146,63453.469697017616,"MMR",2006
1,142063.62755644665,754.3670468504557,260449.9838534855,"MMR",2007
2,693278.9426570367,3384.493296515744,1271011.394871234,"MMR",2007
3,425728.0784333567,1796.482918778993,780501.4771278207,"MMR",2007
4,4500421.531411756,20654.897708717992,8250772.807588218,"MMR",2007
5,291714.523955173,1174.8791901854959,534809.9605844838,"MMR",2007
6,2410348.468220786,12116.768690010866,4418972.191738108,"MMR",2007
7,592218.3982966448,2763.8546559028123,1085733.7302105154,"MMR",2007
8,313548.6429164629,1487.4873671498724,574839.178680182,"MMR",2007
9,781332.0578444258,4251.442365948837,1432442.1060481141,"MMR",2007
10,582.3488268327544,3.8441226450157346,1067.6395158600499,"MMR",2007
11,984765.8304157788,6728.447071719984,1805404.0224289277,"MMR",2007
12,4839526.143385351,21864.473797949624,8872464.596206477,"MMR",2007
13,9709190.485665321,44714.33816130706,17800182.557053085,"MMR",2007
14,5675325.16605851,24760.5088201345,10404762.804440599,"MMR",2007
15,24934.158334041298,142.0330852561888,45712.62361240904,"MMR",2007
1,275485.22554835514,1408.0795820422495,505056.2468386511,"MMR",2008
2,757586.9396118007,3798.1660801733974,1388909.3892883013,"MMR",2008
3,1905900.4694964013,8316.676580028681,3494150.8607434025,"MMR",2008
4,3385061.7662872705,15010.34750067929,6205946.571526663,"MMR",2008
5,267001.95689133566,1137.190071505142,489503.5876341154,"MMR",2008
6,1603399.4339080846,7979.062772554527,2939565.628831488,"MMR",2008
7,975794.129794071,4898.539825002506,1788955.9046224633,"MMR",2008
8,531621.7264371279,2637.790891113863,974639.8318014012,"MMR",2008
9,688330.4598186008,3734.3698711844236,1261939.1763341017,"MMR",2008
10,1349.8796062775864,9.065908668223399,2474.7792781755747,"MMR",2008
11,1264718.6608724226,9276.092225989009,2318650.878266108,"MMR",2008
12,3840190.7449845094,16784.205927124807,7040349.699138267,"MMR",2008
13,6693093.134465733,30859.8177448259,12270670.74652051,"MMR",2008
14,2999282.197452382,13179.554486067263,5498684.0286627,"MMR",2008
15,28571.299079562617,187.3187209449562,52380.71497919813,"MMR",2008
1,191507.95032857778,921.9687212321087,351097.90893572604,"MMR",2009
2,1222697.8691008666,5902.808152692083,2241612.7600182556,"MMR",2009
3,1981912.1120999437,8683.963794891271,3633505.538849897,"MMR",2009
4,8331655.124752715,37951.97921312692,15274701.062046643,"MMR",2009
5,504718.79739988735,2157.138599399578,925317.7952331268,"MMR",2009
6,2734962.198840074,13632.985385791653,5014097.3645401355,"MMR",2009
7,701598.9711576777,3373.8780537506836,1286264.7804557423,"MMR",2009
8,620149.15382347,3032.4235323307425,1136940.1153430282,"MMR",2009
9,934975.6891065037,5105.257011957608,1714122.096695257,"MMR",2009
10,652.4241800205289,4.279369807182881,1196.1109967043028,"MMR",2009
11,1370802.4118318616,10011.96041870959,2513137.7550250795,"MMR",2009
12,5808777.098961246,26293.45389092275,10649424.68142895,"MMR",2009
13,17458859.663592312,80509.17474615927,32007909.38325257,"MMR",2009
14,4230200.879683491,18480.375215667143,7755368.279419733,"MMR",2009
15,41429.8466663537,244.12968952554132,75954.71888831511,"MMR",2009
1,273587.1079028571,1306.9872678483189,501576.3644885712,"MMR",2010
2,1185427.7743677406,6103.432532155718,2173284.2530075246,"MMR",2010
3,1398385.4418807183,6041.741455550275,2563706.6434479835,"MMR",2010
4,4957234.548628242,22164.316306646142,9088263.339151777,"MMR",2010
5,422915.61821535695,1775.293674235028,775345.3000614876,"MMR",2010
6,3175875.3081231033,15582.200190357136,5822438.064892355,"MMR",2010
7,506115.68396930303,2443.678849059911,927878.7539437222,"MMR",2010
8,592653.3243895267,2885.5425411681836,1086531.0947141324,"MMR",2010
9,1106559.0725741806,5898.712267929893,2028691.6330526643,"MMR",2010
10,1073.9135301646916,7.035646327014994,1968.8414719686011,"MMR",2010
11,3159390.5344821233,18508.037281256384,5792215.979883886,"MMR",2010
12,3775659.6952918563,16944.79664346065,6922042.774701735,"MMR",2010
13,10983789.468847634,50310.74908604078,20136947.359553996,"MMR",2010
14,4696668.247278256,19626.959853042215,8610558.453343472,"MMR",2010
15,46390.19524540157,313.7915735978335,85048.69128323618,"MMR",2010
1,286311.8602103742,1574.107047824165,524905.0770523525,"MMR",2011
2,1309513.333736959,6845.690393741311,2400774.445184425,"MMR",2011
3,1617694.4963772949,6976.127512360743,2965773.2433583736,"MMR",2011
4,4148533.3353059567,18512.19822462974,7605644.448060921,"MMR",2011
5,268019.6651216366,1159.5635472979723,491369.3860563338,"MMR",2011
6,1782636.6392989217,9349.074513489431,3268167.172048023,"MMR",2011
7,711963.3036951795,3374.764476535451,1305266.0567744956,"MMR",2011
8,468458.62752776436,2253.555450892395,858840.8171342346,"MMR",2011
9,964038.4407536836,5206.46508424543,1767403.808048419,"MMR",2011
10,192.20254390128068,1.3055297619367334,352.37133048568114,"MMR",2011
